Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac;Precio Regulado 10% o 15% TAB;Precio Regulado X Pres.; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones;;
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1400;42000;;;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1700;51000;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2433;72990;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2500;75000;;;2475;IPS Biotech and Life S.A.;1/08/2019;30/07/2020;;;2475;IPS Biotech and Life S.A.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1800;54000;;;2641;Organiz.Clinica General Norte;1/09/2019;28/02/2020;;;2641;Organiz.Clinica General Norte
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1800;54000;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2300;69000;0;0;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1400;42000;;;1492;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;1492;Cosmitet Ltda
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1400;42000;;;2062;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2062;Cosmitet Ltda
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1400;42000;;;2170;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2170;Cosmitet Ltda
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1400;42000;;;2324;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2324;Cosmitet Ltda
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2500;75000;;; 2063-INS ;Unidrogas S.A.;1/05/2019;10/02/2021;Electricaribe;;2063-INS;Unidrogas S.A.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2500;75000;;; 2615-INS ;Unidrogas S.A.;1/05/2019;10/02/2021;Electricaribe;;2615-INS;Unidrogas S.A.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2500;75000;;; 2576-INS ;Unidrogas S.A.;1/05/2019;10/02/2021;Electricaribe;;2576-INS;Unidrogas S.A.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2500;75000;;; 2711-INS ;Unidrogas S.A.;1/05/2019;10/02/2021;Electricaribe;;2711-INS;Unidrogas S.A.
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;2511;75330;;;2858;Medisin SAS;1/09/2018;30/09/2019;;;2858;Medisin SAS
001-110-024;CANDEPREX H 16/12.5 MG X 30 TABLETAS;Candesartan cilexetil 16 mg + Hidroclorotiazida 125 mg/HCT;30;1100;33000;0;0;2115;Offimedicas S.A.;1/06/2019;31/05/2020;;;2115;Offimedicas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;150;4500;;; 2360-INS ;Grupo Dao SAS;1/08/2019;31/01/2020;;;2360-INS;Grupo Dao SAS
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;;;2780;Health Net SAS;29/07/2019;31/07/2020;;;2780;Health Net SAS
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;240;7200;4446;133380;1731;Universidad del Cauca Unidad d;1/02/2019;28/02/2020;;;1731;Universidad del Cauca Unidad d
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;110;3300;4446;133380;2598;Medicina Integral S.A.;1/04/2019;30/06/2020;;;2598;Medicina Integral S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;250;7500;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;110;3300;4199;125970;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;250;7500;4446;133380;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S;1/04/2019;31/03/2020;;;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;87;2610;;;2239;Escobar Bustos Carmen del Pilar;1/05/2019;30/04/2020;;;2239;Escobar Bustos Carmen del Pilar
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;300;9000;;;1279;Hospital Pablo Tobon Uribe;1/10/2018;31/01/2020;;;1279;Hospital Pablo Tobon Uribe
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;110;3300;;;2530;Salud Drogas Uno A;13/02/2015;30/06/2020;;;2530;Salud Drogas Uno A
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;215;6450;4446;133380;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;110;3300;4199;125970;2875;Offimedicas S.A.;1/06/2019;31/05/2020;;;2875;Offimedicas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;;;2891;Medical Group Anma SAS;1/05/2018;31/05/2019;;;2891;Medical Group Anma SAS
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;4446;133380;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;4446;133380;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;33;990;4199;125970;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;225;6750;4199;125970; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;250;7500;4446;133380;1022;Caja de Comp. Fam. Comfenalco;1/03/2019;29/02/2020;;;1022;Caja de Comp. Fam. Comfenalco
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;150;4500;;; 1044-INS ;Caja De Comp. Fam. Comfandi;16/08/2019;31/08/2020;;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;494;14820;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar;1/03/2019;31/03/2020;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;494;14820;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;90;2700;;;2641;Organiz.Clinica General Norte;1/09/2019;28/02/2020;;;2641;Organiz.Clinica General Norte
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;180;5400;;;2715;Fuertes Mejia Yaneth Patricia;1/09/2019;30/09/2020;;;2715;Fuertes Mejia Yaneth Patricia
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;180;5400;;;2830;Fuertes Mejia Yaneth Patricia;1/09/2019;30/09/2020;;;2830;Fuertes Mejia Yaneth Patricia
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;100;3000;4199;125970;2666;Farma Xpress S.A.S;1/07/2019;30/09/2019;;;2666;Farma Xpress S.A.S
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;120;3600;4446;133380;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;444;13320;4446;133380;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;33;990;4199;12597;1492;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;1492;Cosmitet Ltda
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;33;990;4199;12597;2062;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2062;Cosmitet Ltda
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;33;990;4199;12597;2170;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2170;Cosmitet Ltda
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;33;990;4199;12597;2324;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2324;Cosmitet Ltda
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;4446;13338; 2063-INS ;Unidrogas S.A.;1/05/2019;11/02/2021;Electricaribe;;2063-INS;Unidrogas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;4446;13338; 2615-INS ;Unidrogas S.A.;1/05/2019;11/02/2021;Electricaribe;;2615-INS;Unidrogas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;4446;13338; 2576-INS ;Unidrogas S.A.;1/05/2019;11/02/2021;Electricaribe;;2576-INS;Unidrogas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;200;6000;4446;13338; 2711-INS ;Unidrogas S.A.;1/05/2019;11/02/2021;Electricaribe;;2711-INS;Unidrogas S.A.
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;113;3390;4446;133380;2858;Medisin SAS;1/09/2018;30/09/2019;;;2858;Medisin SAS
001-110-027;CARVEDIL 12.5 MG CAJA X 30 TAB;Carvedilol 12.5 mg;30;110;3300;4199;125970;2115;Offimedicas S.A.;1/06/2019;31/05/2020;;;2115;Offimedicas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;120;3600;;; 2360-INS ;Grupo Dao SAS;1/08/2019;31/01/2020;;;2360-INS;Grupo Dao SAS
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;;;2780;Health Net SAS;29/07/2019;31/07/2020;;;2780;Health Net SAS
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;889;26670;8892;266760;1731;Universidad del Cauca Unidad d;1/02/2019;28/02/2020;;;1731;Universidad del Cauca Unidad d
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;98;19200;8892;266760; 1408-INS ;Profesionales de la Salud S.A.;1/12/2018;31/12/2019;;;1408-INS;Profesionales de la Salud S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;121;3630;8892;266760;2598;Medicina Integral S.A.;1/04/2019;30/06/2020;;;2598;Medicina Integral S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;370;11100;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;90;2700;8398;251940;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;266760;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S;1/04/2019;31/03/2020;;;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;90;2700;;;2239;Escobar Bustos Carmen del Pilar;1/05/2019;30/04/2020;;;2239;Escobar Bustos Carmen del Pilar
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;400;12000;;;1279;Hospital Pablo Tobon Uribe;1/10/2018;31/01/2020;;;1279;Hospital Pablo Tobon Uribe
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;600;18000;8892;266760;1267;H. & V Cia Ltda.;13/05/2019;30/04/2020;;;1267;H. & V Cia Ltda.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;119;3570;;;2530;Salud Drogas Uno A;13/01/2015;30/06/2020;;;2530;Salud Drogas Uno A
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;380;11400;8892;266760;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;95;2850;8398;251940;2875;Offimedicas S.A.;1/06/2019;31/05/2020;;;2875;Offimedicas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;;;2891;Medical Group Anma SAS;1/05/2018;31/05/2019;;;2891;Medical Group Anma SAS
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;266760;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;8892;266760;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;50;1500;8398;251940;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;90;2700;8398;251940; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;266760;1022;Caja de Comp. Fam. Comfenalco;1/03/2019;29/02/2020;;;1022;Caja de Comp. Fam. Comfenalco
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;120;3600;;; 1044-INS ;Caja De Comp. Fam. Comfandi;16/08/2019;31/08/2020;;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;;;1035;Caja De Comp. Fam. De Risaralda - Comfam;19/06/2019;19/07/2020;;;1035;Caja De Comp. Fam. De Risaralda - Comfam
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar;1/03/2019;31/03/2020;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;988;29640;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;266760;2475;IPS Biotech and Life S.A.;1/08/2019;30/07/2020;;;2475;IPS Biotech and Life S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;100;3000;;;2641;Organiz.Clinica General Norte;1/09/2019;28/02/2020;;;2641;Organiz.Clinica General Norte
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;290;8700;;;2715;Fuertes Mejia Yaneth Patricia;1/09/2019;30/09/2020;;;2715;Fuertes Mejia Yaneth Patricia
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;290;8700;;;2830;Fuertes Mejia Yaneth Patricia;1/09/2019;30/09/2020;;;2830;Fuertes Mejia Yaneth Patricia
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;100;3000;8398;251940;2666;Farma Xpress S.A.S;1/07/2019;30/09/2019;;;2666;Farma Xpress S.A.S
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;120;3600;8892;266760;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;133;3990;;;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;50;1500;8398;25194;1492;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;1492;Cosmitet Ltda
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;50;1500;8398;25194;2062;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2062;Cosmitet Ltda
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;50;1500;8398;25194;2170;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2170;Cosmitet Ltda
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;50;1500;8398;25194;2324;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2324;Cosmitet Ltda
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;26676; 2063-INS ;Unidrogas S.A.;1/05/2019;12/02/2021;Electricaribe;;2063-INS;Unidrogas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;26676; 2615-INS ;Unidrogas S.A.;1/05/2019;12/02/2021;Electricaribe;;2615-INS;Unidrogas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;26676; 2576-INS ;Unidrogas S.A.;1/05/2019;12/02/2021;Electricaribe;;2576-INS;Unidrogas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;300;9000;8892;26676; 2711-INS ;Unidrogas S.A.;1/05/2019;12/02/2021;Electricaribe;;2711-INS;Unidrogas S.A.
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;118;3540;;;2858;Medisin SAS;1/09/2018;30/09/2019;;;2858;Medisin SAS
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;95;2850;8398;251940;2115;Offimedicas S.A.;1/06/2019;31/05/2020;;;2115;Offimedicas S.A.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;200;6000;;; 2360-INS ;Grupo Dao SAS;1/08/2019;31/01/2020;;;2360-INS;Grupo Dao SAS
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;1,17E+14;3,50E+15;;;2780;Health Net SAS;29/07/2019;31/07/2020;;;2780;Health Net SAS
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;120;3600;2223;66690;1731;Universidad del Cauca Unidad d;1/02/2019;28/02/2020;;;1731;Universidad del Cauca Unidad d
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;180;5400;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;80;2400;20995;629850;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;125;3750;2223;66690;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S;1/04/2019;31/03/2020;;;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;78;2340;;;2239;Escobar Bustos Carmen del Pilar;1/05/2019;30/04/2020;;;2239;Escobar Bustos Carmen del Pilar
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;150;4500;2223;66690;1267;H. & V Cia Ltda.;13/05/2019;30/04/2020;;;1267;H. & V Cia Ltda.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;83;2490;;;2530;Salud Drogas Uno A;13/12/2014;30/06/2020;;;2530;Salud Drogas Uno A
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;117;3510;2223;66690;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;83;2490;20995;629850;2875;Offimedicas S.A.;1/06/2019;31/05/2020;;;2875;Offimedicas S.A.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;112;3360;2223;66690;2598;Medicina Integral S.A.;1/04/2019;30/06/2020;;;2598;Medicina Integral S.A.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;1,17E+14;3,50E+15;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;117;3510;;;2891;Medical Group Anma SAS;1/05/2018;31/05/2019;;;2891;Medical Group Anma SAS
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;1,17E+14;3,50E+15;2223;66690;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;2223;66690;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;33;990;20995;629850;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;112;3360;20995;629850; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;140;4200;2223;66690;1022;Caja de Comp. Fam. Comfenalco;1/03/2019;29/02/2020;;;1022;Caja de Comp. Fam. Comfenalco
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;100;3000;;; 1044-INS ;Caja De Comp. Fam. Comfandi;16/08/2019;31/08/2020;;;1044-INS;Caja De Comp. Fam. Comfandi
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;117;3510;;;1035;Caja De Comp. Fam. De Risaralda - Comfam;19/06/2019;19/07/2020;;;1035;Caja De Comp. Fam. De Risaralda - Comfam
001-110-031;CARVEDIL 6.25 MG X 30 TABLETAS;Carvedilol 6.25 mg;30;117;3510;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar;1/03/2019;31/03/2020;;;1042;Caja De Comp. Fam. Del Huila - Comfamiliar
