Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac;Precio Regulado 10% o 15% TAB;Precio Regulado X Pres; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones;;
001-110-021;CANDEPREX 8 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;1800;1800;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-024;CANDEPREX H 16/125 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2460;2460;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-022;CANDEPREX A 16/5  MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;3833;3833;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-023;CANDEPREX A 32/5  MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;4050;4050;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-027;CARVEDIL 125 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;120;120;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;130;130;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-031;CARVEDIL 625 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;91;91;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-033;CLOTRIMAX 1000/75 MG 4 TAB;Adapalene 01% Clindamicina 1%;1;11000;11000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-035;COLESTIR 10/20 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;1180;1180;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-037;COLESTIR 10/40 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2350;2350;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-040;DIUREX 25 MG CAJA X  10 TAB;Adapalene 01% Clindamicina 1%;1;480;480;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-042;DUOLIP 20/10 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2500;2500;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-043;DUOLIP 40/10 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;3250;3250;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-044;DUOVAL 10/160 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;3800;3800;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-045;DUOVAL 5/160 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;3483;3483;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-046;DUOVAL 5/80 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2833;2833;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-048;DUOVAL H 5/160/125 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;4067;4067;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-047;DUOVAL H 10/160/125 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;5033;5033;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-049;ESOMAX 10 MG CAJA X 28 CAP;Adapalene 01% Clindamicina 1%;1;970;970;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-195;ESOMAX 20 MG CAJA X 28 CAP;Adapalene 01% Clindamicina 1%;1;900;900;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-052;ESOMAX 40 MG CAJA X 28 CAP;Adapalene 01% Clindamicina 1%;1;1800;1800;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-054;FENOLIP  200 MG CAJA X 30 CAPSULA;Adapalene 01% Clindamicina 1%;1;2080;2080;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-055;FENTRADOL 120 MG X 10 TABLETAS;Adapalene 01% Clindamicina 1%;1;790;790;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-057;FENTRADOL 180 MG X 10 TABLETAS;Adapalene 01% Clindamicina 1%;1;790;790;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-058;FIBROLIP 100 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;1933;1933;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-063;GASPRID M 5 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2100;2100;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-064;GASPRID S 5 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2460;2460;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-065;GLIX 10 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;630;630;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-066;GLIX 5 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;580;580;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-071;IBANAT 150 MG X 1 TABLETA;Adapalene 01% Clindamicina 1%;1;15000;15000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-072;IRBEPREX 150 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;1610;1610;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-073;IRBEPREX 300 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;2150;2150;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-074;IRBEPREX A 150/5 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;4633;4633;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-075;IRBEPREX A 300/10 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;5633;5633;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-076;IRBEPREX A 300/5 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;5200;5200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-077;IRBEPREX H 150/125 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;1605;1605;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-078;IRBEPREX H 300/125 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;2140;2140;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-079;KLAMICINA 500 MG CAJA X 10 TAB;Adapalene 01% Clindamicina 1%;1;950;950;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-081;LEFLUX 16 MG CAJA X 20 TABLETAS;Adapalene 01% Clindamicina 1%;1;200;200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-083;LEFLUX 8 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;180;180;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-084;LEUCOTREN 10 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;200;200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-086;LEUCOTREN 4 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;130;130;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-088;LEUCOTREN 5 MG CAJA X 30TAB;Adapalene 01% Clindamicina 1%;1;125;125;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-089;LEVOPRAZ 5 MG X 10 TABLETAS;Adapalene 01% Clindamicina 1%;1;700;700;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-090;MACROZIT 500 MG  X 3 TAB;Adapalene 01% Clindamicina 1%;1;1500;1500;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-092;MELOPRAX 15/20 MG X 10 TAB;Adapalene 01% Clindamicina 1%;1;5500;5500;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-093;MIODAR 200 MG CAJA X 10 CAP;Adapalene 01% Clindamicina 1%;1;280;280;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-095;NEVITEN 5 MG 30 TAB;Adapalene 01% Clindamicina 1%;1;3200;3200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-097;NIVECOL 10 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;160;160;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-098;NIVECOL 20 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;160;160;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-099;NIVECOL 40 MG  CAJA X  30 TAB;Adapalene 01% Clindamicina 1%;1;140;140;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-100;NIZOX SUSPENSION 100 MG / 5 ML FRASCO X 60 ML;Adapalene 01% Clindamicina 1%;1;4820;4820;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-102;NIZOX 500 MG CAJA X 6 TAB;Adapalene 01% Clindamicina 1%;1;910;910;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-104;OLAZAP 10 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;150;150;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-106;OLAZAP 5 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;120;120;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-108;OLMEPREX 20 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2200;2200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-109;OLMEPREX 40 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2460;2460;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-110;OMEX 40 MG X 15 CAPSULAS;Adapalene 01% Clindamicina 1%;1;1880;1880;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-111;ONDAX 4 MG X  1 AMPOLLA;Adapalene 01% Clindamicina 1%;1;1250;1250;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-112;ONDAX 4 MG CAJA X 10 TAB;Adapalene 01% Clindamicina 1%;1;810;810;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-114;ONDAX 8 MG CAJA X 10 TAB;Adapalene 01% Clindamicina 1%;1;810;810;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-113;ONDAX 8 MG CAJA X 1 AMPOLLA;Adapalene 01% Clindamicina 1%;1;910;910;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-116;ORLIX 40 MG  X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;1400;1400;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-117;PANTOPRAX 20 MG X 30 TAB;Adapalene 01% Clindamicina 1%;1;4233;4233;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-118;PANTOPRAX 40 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;4583;4583;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-123;PROPAFEN 150 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;182;182;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-125;PROSTARIDE 2 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;270;270;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-127;PROSTARIDE 4 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;310;310;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-129;QUINOMAX 400 MG CAJA X 5 TAB;Adapalene 01% Clindamicina 1%;1;2675;2675;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-130;QUINOMAX 400 MG CAJA X 7 TAB;Adapalene 01% Clindamicina 1%;1;2675;2675;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-131;RIFABAC 200 MG X 12 TABLETAS;Adapalene 01% Clindamicina 1%;1;3880;3880;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-030;RIFABAC 550 mg X 14 TAB;Adapalene 01% Clindamicina 1%;1;6571;6571;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-132;RINOSAL 005% X 10 GRAMOS;Adapalene 01% Clindamicina 1%;1;9000;9000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-133;RINOSAL 005% X 18 GRAMOS;Adapalene 01% Clindamicina 1%;1;9000;9000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-136;RINOTADIN 5 MG CAJA X 10 TAB;Adapalene 01% Clindamicina 1%;1;215;215;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-137;RISEMAX 120 MG CAJA X 60 CAP;Adapalene 01% Clindamicina 1%;1;850;850;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-138;ROSUVAX 10 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;417;417;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-140;ROSUVAX 20 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;535;535;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-141;ROSUVAX 40 MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;856;856;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-142;ROSUVAX E 10/10  MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;4710;4710;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-143;ROSUVAX E 20/10  MG CAJA X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;5683;5683;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-145;SULIMAX 500 MG 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;490;490;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-146;SULPRID 25 MG X 20 TABLETAS;Adapalene 01% Clindamicina 1%;1;480;480;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-148;TALOPRAM 10 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;240;240;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-150;TAZEPIN 30 MG CAJA  X 20 TAB;Adapalene 01% Clindamicina 1%;1;350;350;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-193;TIAMAX 100 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;210;210;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-194;TIAMAX 200 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;335;335;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-155;TIAMAX 25 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;140;140;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-157;UROFLAV 500 MG CAJA X 7 TABLETAS;Adapalene 01% Clindamicina 1%;1;535;535;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-156;UROFLAV 500 MG CAJA X 10 TABLETAS;Adapalene 01% Clindamicina 1%;1;535;535;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-158;UROFLAV 750 MG CAJA X 5 TABLETAS;Adapalene 01% Clindamicina 1%;1;1880;1880;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-160;VALCOX 10 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;170;170;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-162;VALSAPREX  160 MG CAJA X 28 TAB;Adapalene 01% Clindamicina 1%;1;225;225;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-164;VALSAPREX  80 MG CAJA X 28 TAB;Adapalene 01% Clindamicina 1%;1;210;210;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-166;VALSAPREX   H 160/125 MG CAJA X 28 TABLETAS;Adapalene 01% Clindamicina 1%;1;270;270;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-168;VALSAPREX H 80/125 MG CAJA X 28 TAB;Adapalene 01% Clindamicina 1%;1;225;225;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-169;VASIP 80 MG  CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;180;180;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-170;VENOMAX 500 MG CAJA X 30 TAB;Adapalene 01% Clindamicina 1%;1;2525;2525;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-171;XIFEN 80 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;1883;1883;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-172;XIFEN H 80/125 MG X 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;2316;2316;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-174;ZOPLIMAX 2 MG 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;700;700;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-110-175;ZOPLIMAX 3 MG 30 TABLETAS;Adapalene 01% Clindamicina 1%;1;850;850;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-034;ABRILAR JARABE FCO X 200 ML;Adapalene 01% Clindamicina 1%;1;26750;26750;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-036;ABRILAR FCO 100 ML;Adapalene 01% Clindamicina 1%;1;18196;18196;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-003;ACRYLARM GEL X 10 GRS;Adapalene 01% Clindamicina 1%;1;19700;19700;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-201;ACRYLARM PLUS X 10 G;Adapalene 01% Clindamicina 1%;1;20900;20900;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-622;ALACIR 30 MG X 30;Adapalene 01% Clindamicina 1%;1;1870;1870;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-623;ALACIR 60 MG X 30;Adapalene 01% Clindamicina 1%;1;3100;3100;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-001;ALERGIBON AVENA X 90 G;Adapalene 01% Clindamicina 1%;1;9120;9120;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-006;AMOXIDAL DUO X 14 COMP 875 MG;Adapalene 01% Clindamicina 1%;1;2300;2300;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-007;AMOXIDAL DUO 750 MG SUSP X 120 ML + AGUA + JERINGA;Adapalene 01% Clindamicina 1%;1;27500;27500;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-001;AMOXIDAL DUO SUSP 750 MG X 70 ML;Adapalene 01% Clindamicina 1%;1;22280;22280;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-678;AQUATOP CREMA X 250G;Adapalene 01% Clindamicina 1%;1;48000;48000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-161;ATERGIT 5 ML;Adapalene 01% Clindamicina 1%;1;43950;43950;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-027;AVITIL GEL X 50 G;Adapalene 01% Clindamicina 1%;1;53650;53650;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-002;BETAGRANULOS CREMA X 60 G;Adapalene 01% Clindamicina 1%;1;35550;35550;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-013;BETAPIROX CHAMPU X 120 ML;Adapalene 01% Clindamicina 1%;1;30000;30000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-021;BETARRETIN 0025% CREMA X 30  G;Adapalene 01% Clindamicina 1%;1;30500;30500;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-041;BETARRETIN 005% CREMA X 30 G;Adapalene 01% Clindamicina 1%;1;12000;12000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-031;BETARRETIN 0025% GEL X 30 G;Adapalene 01% Clindamicina 1%;1;29900;29900;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-069;BETARRETIN H CREMA X 30G  HQ 4%;Adapalene 01% Clindamicina 1%;1;32830;32830;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-073;BETARRETIN H LOCION x 60 ML HQ 4%;Adapalene 01% Clindamicina 1%;1;37450;37450;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-051;BETARRETIN 005% LOCION X 60  ML;Adapalene 01% Clindamicina 1%;1;23000;23000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-006;BETAZOL CREMA X 30 G;Adapalene 01% Clindamicina 1%;1;17600;17600;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-001-091;BETAZOL LOCION X 60 ML;Adapalene 01% Clindamicina 1%;1;24750;24750;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-061;BONAC GEL 4% X 30 G;Adapalene 01% Clindamicina 1%;1;15000;15000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-071;BONAC LOCION X 60 ML;Adapalene 01% Clindamicina 1%;1;26400;26400;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-013-005;Botemib  35mg/10ml Polvo para solución inyectable x 1 PT;Adapalene 01% Clindamicina 1%;1;728000;728000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-085;CETOPIC X 50 G;Adapalene 01% Clindamicina 1%;1;56360;56360;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-401;CEUMID 1000 MG X 30;Adapalene 01% Clindamicina 1%;1;750;750;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-411;CEUMID 500 MG X 30;Adapalene 01% Clindamicina 1%;1;410;410;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-550;CICLORELAX 10 MG X 20 TABS;Adapalene 01% Clindamicina 1%;1;1150;1150;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-125;DERMACORTINE CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;33200;33200;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-128;DERMACORTINE EMULSION X 60 ML;Adapalene 01% Clindamicina 1%;1;70800;70800;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-126;DERMACORTINE LOCION X 30 ML;Adapalene 01% Clindamicina 1%;1;56200;56200;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-133;DERMOSUPRIL 005% CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;12000;12000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-143;DERMOSUPRIL 01% CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;11000;11000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-163;DERMOSUPRIL EMULSION X 120 ML;Adapalene 01% Clindamicina 1%;1;32000;32000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-131;DESONIDA CREMA 005 % X 15 G;Adapalene 01% Clindamicina 1%;1;5000;5000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-141;DESONIDA CREMA 01 % X 15 G;Adapalene 01% Clindamicina 1%;1;5000;5000;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-151;DESONIDA CLIOQUINOL CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;13700;13700;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-161;DESONIDA EMULSION X 120 ML;Adapalene 01% Clindamicina 1%;1;23600;23600;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-171;DESONIDA LOCION X 30 ML;Adapalene 01% Clindamicina 1%;1;16100;16100;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-078;DEXLANZOPRAL 30 MG X 30 Caps;Adapalene 01% Clindamicina 1%;1;4300;4300;;; 2615-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
